  2.000000E+01  -9.000000E+00   1.132812E+02
  2.000000E+01   0.000000E+00   1.135156E+02
  2.000000E+01   9.000000E+00   1.139844E+02
  2.500000E+01  -9.000000E+00   1.379688E+02
  2.500000E+01   0.000000E+00   1.400000E+02
  2.500000E+01   9.000000E+00   1.410156E+02
  3.000000E+01  -9.000000E+00   1.624219E+02
  3.000000E+01   0.000000E+00   1.660156E+02
  3.000000E+01   9.000000E+00   1.675000E+02
  3.500000E+01  -9.000000E+00   1.866406E+02
  3.500000E+01   0.000000E+00   1.917969E+02
  3.500000E+01   9.000000E+00   1.935938E+02
  4.000000E+01  -9.000000E+00   2.107812E+02
  4.000000E+01   0.000000E+00   2.173438E+02
  4.000000E+01   9.000000E+00   2.195312E+02
  4.500000E+01  -9.000000E+00   2.346875E+02
  4.500000E+01   0.000000E+00   2.427344E+02
  4.500000E+01   9.000000E+00   2.453125E+02
  5.000000E+01  -9.000000E+00   2.586719E+02
  5.000000E+01   0.000000E+00   2.680469E+02
  5.000000E+01   9.000000E+00   2.710156E+02
  5.500000E+01  -9.000000E+00   2.825781E+02
  5.500000E+01   0.000000E+00   2.933594E+02
  5.500000E+01   9.000000E+00   2.966406E+02
  6.000000E+01  -9.000000E+00   3.064062E+02
  6.000000E+01   0.000000E+00   3.185938E+02
  6.000000E+01   9.000000E+00   3.222656E+02
